"Date","Forecast"
2024-08-23,4.4672575147915
2024-08-26,4.47016764277713
2024-08-27,4.47192415411726
2024-08-28,4.47552542117015
2024-08-29,4.47850953114163
2024-08-30,4.47619716855146
2024-09-02,4.47786897892746
2024-09-03,4.47810840756027
2024-09-04,4.47729235908918
2024-09-05,4.47919022409244
2024-09-06,4.47839653718193
2024-09-09,4.47876041432225
2024-09-10,4.48000880334472
2024-09-11,4.47901830274342
2024-09-12,4.48023574997987
2024-09-13,4.48051504257313
2024-09-16,4.48005338849506
2024-09-17,4.48143864168312
2024-09-18,4.48101275405471
2024-09-19,4.48134700033545
2024-09-20,4.48230169389741
2024-09-23,4.48173291934995
