"Date","Forecast"
2024-08-23,116.98862131512
2024-08-26,116.979339411917
2024-08-27,116.97410850677
2024-08-28,116.969623903534
2024-08-29,116.969254654253
2024-08-30,116.964816136513
2024-09-02,116.965179418714
2024-09-03,116.966242121598
2024-09-04,116.963454393628
2024-09-05,116.966872997601
2024-09-06,116.964143956195
2024-09-09,116.965144791854
2024-09-10,116.966233964192
2024-09-11,116.963499939506
2024-09-12,116.966808030706
2024-09-13,116.96420315435
2024-09-16,116.965114011603
2024-09-17,116.9662248792
2024-09-18,116.963544886128
2024-09-19,116.966744940108
2024-09-20,116.964259935944
2024-09-23,116.965085253558
