"Date","Forecast"
2024-06-06,19.019290215746
2024-06-07,19.0400592559609
2024-06-10,19.1141857081215
2024-06-11,19.0540525981541
2024-06-12,19.0293667749844
2024-06-13,19.0854933909681
2024-06-14,19.0838197573106
2024-06-17,19.0707767204513
2024-06-18,19.0642088090697
2024-06-19,19.062334250518
2024-06-20,19.0597047508449
2024-06-21,19.0569476516058
2024-06-24,19.0542362155383
2024-06-25,19.0515257110062
2024-06-26,19.0488131295476
2024-06-27,19.0461007172895
2024-06-28,19.043388378141
2024-07-01,19.0406760242652
2024-07-02,19.0379636687012
2024-07-03,19.0352513139472
2024-07-04,19.0325389591847
2024-07-05,19.0298266043879
2024-07-08,19.6146488502621
2024-07-09,19.5991982502183
2024-07-10,19.6055243070729
2024-07-11,19.5986127073731
2024-07-12,19.6023214711592
2024-07-15,19.5931417189623
2024-07-16,19.5928552548077
2024-07-17,19.5909711876081
2024-07-18,19.5890405573007
2024-07-19,19.5865932454869
2024-07-22,19.5841940951563
2024-07-23,19.5818288244876
2024-07-24,19.5794570739405
2024-07-25,19.5770833894421
2024-07-26,19.5747103495679
2024-07-29,19.5723373963039
2024-07-30,19.5699643880703
2024-07-31,19.5675913782176
2024-08-01,19.5652183725532
2024-08-02,19.5628453666453
2024-08-05,19.5604723604502
2024-08-06,19.5580993542978
2024-08-07,19.2401188289451
2024-08-08,19.2375655561174
2024-08-09,21.3285217226614
2024-08-12,21.3534807843536
2024-08-13,21.361125988205
2024-08-14,21.3615383164691
2024-08-15,21.3589964130199
2024-08-16,21.3576394038378
2024-08-19,21.3564314236062
2024-08-20,21.3551027221007
2024-08-21,21.3537724531253
2024-08-22,21.3524531543089
2024-08-23,21.3511329249165
2024-08-26,21.3498118034057
2024-08-27,21.3484908523767
2024-08-28,21.3471699646408
2024-08-29,21.3458490554498
2024-08-30,21.3445281426821
2024-09-02,21.343207232186
2024-09-03,21.3418863217887
2024-09-04,20.4700240606487
2024-09-05,20.4682119077952
2024-09-06,20.4663997549927
2024-09-09,20.4645876021763
2024-09-10,20.4627754493593
2024-09-11,20.4609632965429
2024-09-12,20.7122363419636
2024-09-13,20.8481084710979
2024-09-16,20.6548935184448
2024-09-17,20.4768284321258
2024-09-18,20.5764436786287
2024-09-19,20.7021753443223
2024-09-20,21.5580723132244
2024-09-23,21.6126866052382
