DATE LME;Official Ask LME USD TONNE
27/09/2019;5714,000
30/09/2019;5728,000
01/10/2019;5610,000
02/10/2019;5629,000
03/10/2019;5626,000
04/10/2019;5599,000
07/10/2019;5626,000
08/10/2019;5650,500
09/10/2019;5660,000
10/10/2019;5698,500
11/10/2019;5763,000
14/10/2019;5718,500
15/10/2019;5745,000
16/10/2019;5684,000
17/10/2019;5726,500
18/10/2019;5751,000
21/10/2019;5820,000
22/10/2019;5794,000
23/10/2019;5773,000
24/10/2019;5869,000
25/10/2019;5867,500
28/10/2019;5888,500
29/10/2019;5879,500
30/10/2019;5883,000
31/10/2019;5825,000
01/11/2019;5797,000
04/11/2019;5846,500
05/11/2019;5880,000
06/11/2019;5913,500
07/11/2019;5941,000
08/11/2019;5951,500
11/11/2019;5857,000
12/11/2019;5838,000
13/11/2019;5823,000
14/11/2019;5835,000
15/11/2019;5812,000
18/11/2019;5828,000
19/11/2019;5821,500
20/11/2019;5873,000
21/11/2019;5813,000
22/11/2019;5834,000
25/11/2019;5872,500
26/11/2019;5856,000
27/11/2019;5925,500
28/11/2019;5881,500
29/11/2019;5854,000
02/12/2019;5855,500
03/12/2019;5812,000
04/12/2019;5823,000
05/12/2019;5855,000
06/12/2019;5867,500
09/12/2019;5985,000
10/12/2019;6055,000
11/12/2019;6083,000
12/12/2019;6097,000
13/12/2019;6154,000
16/12/2019;6155,500
17/12/2019;6175,000
18/12/2019;6126,500
19/12/2019;6161,000
20/12/2019;6155,500
23/12/2019;6153,000
24/12/2019;6184,500
27/12/2019;6211,000
30/12/2019;6183,500
31/12/2019;6156,000
02/01/2020;6165,500
03/01/2020;6077,000
06/01/2020;6097,500
07/01/2020;6134,500
08/01/2020;6154,000
09/01/2020;6156,000
10/01/2020;6157,000
13/01/2020;6177,000
14/01/2020;6247,000
15/01/2020;6232,000
16/01/2020;6300,500
17/01/2020;6276,500
20/01/2020;6245,000
21/01/2020;6158,500
22/01/2020;6103,500
23/01/2020;6050,000
24/01/2020;5968,000
27/01/2020;5779,000
28/01/2020;5715,000
29/01/2020;5698,000
30/01/2020;5621,000
31/01/2020;5570,000
03/02/2020;5595,000
04/02/2020;5652,000
05/02/2020;5714,000
06/02/2020;5726,000
07/02/2020;5653,000
10/02/2020;5659,500
11/02/2020;5696,000
12/02/2020;5747,000
13/02/2020;5716,000
14/02/2020;5737,000
17/02/2020;5802,000
18/02/2020;5728,000
19/02/2020;5745,500
20/02/2020;5730,000
21/02/2020;5702,000
24/02/2020;5657,500
25/02/2020;5663,500
26/02/2020;5614,000
27/02/2020;5618,000
28/02/2020;5573,000
02/03/2020;5640,000
03/03/2020;5668,000
04/03/2020;5694,500
05/03/2020;5667,500
06/03/2020;5624,000
09/03/2020;5483,000
10/03/2020;5598,000
11/03/2020;5552,000
12/03/2020;5386,500
13/03/2020;5530,500
16/03/2020;5211,000
17/03/2020;5205,000
18/03/2020;4860,500
19/03/2020;4685,000
20/03/2020;4855,000
23/03/2020;4617,500
24/03/2020;4789,500
25/03/2020;4754,000
26/03/2020;4775,500
27/03/2020;4774,000
30/03/2020;4763,000
31/03/2020;4797,000
01/04/2020;4772,000
02/04/2020;4821,500
03/04/2020;4863,500
06/04/2020;4867,000
07/04/2020;5067,500
08/04/2020;4976,000
09/04/2020;4963,500
14/04/2020;5119,000
15/04/2020;5054,500
16/04/2020;5098,500
17/04/2020;5175,500
20/04/2020;5169,500
21/04/2020;4994,500
22/04/2020;5034,000
23/04/2020;5120,500
24/04/2020;5118,000
27/04/2020;5165,500
28/04/2020;5169,500
29/04/2020;5184,000
30/04/2020;5231,000
01/05/2020;5061,000
04/05/2020;5058,000
05/05/2020;5111,500
06/05/2020;5199,500
07/05/2020;5227,500
11/05/2020;5231,000
12/05/2020;5234,000
13/05/2020;5212,500
14/05/2020;5155,500
15/05/2020;5165,000
18/05/2020;5249,500
19/05/2020;5314,000
20/05/2020;5333,000
21/05/2020;5387,000
22/05/2020;5242,500
26/05/2020;5341,500
27/05/2020;5308,500
28/05/2020;5278,500
29/05/2020;5332,500
01/06/2020;5376,500
02/06/2020;5463,000
03/06/2020;5499,000
04/06/2020;5452,500
05/06/2020;5588,000
08/06/2020;5659,000
09/06/2020;5680,500
10/06/2020;5801,000
11/06/2020;5801,500
12/06/2020;5785,500
15/06/2020;5646,000
16/06/2020;5759,500
17/06/2020;5734,000
18/06/2020;5799,000
19/06/2020;5835,500
22/06/2020;5825,000
23/06/2020;5895,000
24/06/2020;5871,000
25/06/2020;5880,500
26/06/2020;5985,500
29/06/2020;5957,000
30/06/2020;6038,000
01/07/2020;6016,500
02/07/2020;6080,000
03/07/2020;6022,500
06/07/2020;6112,000
07/07/2020;6086,000
08/07/2020;6194,000
09/07/2020;6339,500
10/07/2020;6322,500
13/07/2020;6545,000
14/07/2020;6489,500
15/07/2020;6507,000
16/07/2020;6385,000
17/07/2020;6454,500
20/07/2020;6416,500
21/07/2020;6513,000
22/07/2020;6527,000
23/07/2020;6533,500
24/07/2020;6412,500
27/07/2020;6425,500
28/07/2020;6399,500
29/07/2020;6475,000
30/07/2020;6433,500
31/07/2020;6446,500
03/08/2020;6441,000
04/08/2020;6440,000
05/08/2020;6525,500
06/08/2020;6453,500
07/08/2020;6437,000
10/08/2020;6363,000
11/08/2020;6356,500
12/08/2020;6379,000
13/08/2020;6380,000
14/08/2020;6342,500
17/08/2020;6439,500
18/08/2020;6492,500
19/08/2020;6667,000
20/08/2020;6594,500
21/08/2020;6564,500
24/08/2020;6579,500
25/08/2020;6544,500
26/08/2020;6603,500
27/08/2020;6602,500
28/08/2020;6728,000
01/09/2020;6788,500
02/09/2020;6719,000
03/09/2020;6613,000
04/09/2020;6678,000
07/09/2020;6790,500
08/09/2020;6767,500
09/09/2020;6709,000
10/09/2020;6710,500
11/09/2020;6757,500
14/09/2020;6788,000
15/09/2020;6813,500
16/09/2020;6776,000
17/09/2020;6761,000
18/09/2020;6833,500
21/09/2020;6837,000
22/09/2020;6810,000
23/09/2020;6725,500
24/09/2020;6538,500
25/09/2020;6529,000
28/09/2020;6571,500
29/09/2020;6546,000
30/09/2020;6610,000
01/10/2020;6614,000
02/10/2020;6409,500
05/10/2020;6507,500
06/10/2020;6509,000
07/10/2020;6525,000
08/10/2020;6611,500
09/10/2020;6740,500
12/10/2020;6769,000
13/10/2020;6699,500
14/10/2020;6702,000
15/10/2020;6683,500
16/10/2020;6728,000
19/10/2020;6755,000
20/10/2020;6814,000
21/10/2020;6953,000
22/10/2020;6886,000
23/10/2020;6879,500
26/10/2020;6806,000
27/10/2020;6787,500
28/10/2020;6694,500
29/10/2020;6692,000
30/10/2020;6694,500
02/11/2020;6712,500
03/11/2020;6791,500
04/11/2020;6748,000
05/11/2020;6798,000
06/11/2020;6938,500
09/11/2020;7034,000
10/11/2020;6865,500
11/11/2020;6912,500
12/11/2020;6904,000
13/11/2020;6926,000
16/11/2020;7113,000
17/11/2020;7050,000
18/11/2020;7083,000
19/11/2020;7028,000
20/11/2020;7178,500
23/11/2020;7215,500
24/11/2020;7302,000
25/11/2020;7238,500
26/11/2020;7356,500
27/11/2020;7462,000
30/11/2020;7674,500
01/12/2020;7644,000
02/12/2020;7616,500
03/12/2020;7679,000
04/12/2020;7741,500
07/12/2020;7656,500
08/12/2020;7635,000
09/12/2020;7704,500
10/12/2020;7712,000
11/12/2020;7741,000
14/12/2020;7763,000
15/12/2020;7753,000
16/12/2020;7823,000
17/12/2020;7893,000
18/12/2020;7964,000
21/12/2020;7838,500
22/12/2020;7753,000
23/12/2020;7764,500
24/12/2020;7793,000
29/12/2020;7840,000
30/12/2020;7803,500
31/12/2020;7741,500
04/01/2021;7918,500
05/01/2021;7914,000
06/01/2021;8129,500
07/01/2021;8036,500
08/01/2021;8146,000
11/01/2021;7951,500
12/01/2021;7983,000
13/01/2021;7960,500
14/01/2021;8002,500
15/01/2021;7979,500
18/01/2021;7972,500
19/01/2021;7986,500
20/01/2021;8014,500
21/01/2021;8051,000
22/01/2021;7872,000
25/01/2021;7984,500
26/01/2021;7957,000
27/01/2021;7895,000
28/01/2021;7778,500
29/01/2021;7877,000
01/02/2021;7827,000
02/02/2021;7755,500
03/02/2021;7832,500
04/02/2021;7833,500
05/02/2021;7936,500
08/02/2021;8007,000
09/02/2021;8146,500
10/02/2021;8279,500
11/02/2021;8292,000
12/02/2021;8270,500
15/02/2021;8416,500
16/02/2021;8439,500
17/02/2021;8413,500
18/02/2021;8650,000
19/02/2021;8806,500
22/02/2021;9067,500
23/02/2021;9158,000
24/02/2021;9286,000
25/02/2021;9614,500
26/02/2021;9172,500
01/03/2021;9198,000
02/03/2021;9213,500
03/03/2021;9266,000
04/03/2021;8786,500
05/03/2021;9021,500
08/03/2021;8992,500
09/03/2021;8895,000
10/03/2021;8939,000
11/03/2021;9062,500
12/03/2021;9052,500
15/03/2021;9147,500
16/03/2021;8965,500
17/03/2021;9027,000
18/03/2021;9090,000
19/03/2021;9036,000
22/03/2021;9097,500
23/03/2021;9016,500
24/03/2021;9016,000
25/03/2021;8781,000
26/03/2021;8929,000
29/03/2021;8942,500
30/03/2021;8788,500
31/03/2021;8850,500
01/04/2021;8768,000
06/04/2021;8984,500
07/04/2021;8981,500
08/04/2021;9001,500
09/04/2021;8993,000
12/04/2021;8901,000
13/04/2021;8904,000
14/04/2021;9011,000
15/04/2021;9187,500
16/04/2021;9336,000
19/04/2021;9415,000
20/04/2021;9396,500
21/04/2021;9382,500
22/04/2021;9475,500
23/04/2021;9545,500
26/04/2021;9758,000
27/04/2021;9898,500
28/04/2021;9832,500
29/04/2021;9990,000
30/04/2021;9949,000
04/05/2021;9961,000
05/05/2021;9991,500
06/05/2021;10025,500
07/05/2021;10361,000
10/05/2021;10724,500
11/05/2021;10528,000
12/05/2021;10537,000
13/05/2021;10253,500
14/05/2021;10212,000
17/05/2021;10257,000
18/05/2021;10465,000
19/05/2021;10114,500
20/05/2021;10086,000
21/05/2021;10011,000
24/05/2021;9868,000
25/05/2021;9943,000
26/05/2021;9965,000
27/05/2021;10032,500
28/05/2021;10159,500
01/06/2021;10212,500
02/06/2021;10117,500
03/06/2021;9967,000
04/06/2021;9852,000
07/06/2021;9848,000
08/06/2021;9878,500
09/06/2021;9877,000
10/06/2021;9808,500
11/06/2021;10029,000
14/06/2021;9900,000
15/06/2021;9552,500
16/06/2021;9508,000
17/06/2021;9427,500
18/06/2021;9206,000
21/06/2021;9042,500
22/06/2021;9190,500
23/06/2021;9289,500
24/06/2021;9390,500
25/06/2021;9432,500
28/06/2021;9333,500
29/06/2021;9225,500
30/06/2021;9385,000
01/07/2021;9342,000
02/07/2021;9296,500
05/07/2021;9432,000
06/07/2021;9528,000
07/07/2021;9451,500
08/07/2021;9264,500
09/07/2021;9437,500
12/07/2021;9347,000
13/07/2021;9310,000
14/07/2021;9309,000
15/07/2021;9347,000
16/07/2021;9396,500
19/07/2021;9264,500
20/07/2021;9211,000
21/07/2021;9271,500
22/07/2021;9382,500
23/07/2021;9433,500
26/07/2021;9580,000
27/07/2021;9709,000
28/07/2021;9697,000
29/07/2021;9781,000
30/07/2021;9747,500
02/08/2021;9737,000
03/08/2021;9583,500
04/08/2021;9503,000
05/08/2021;9429,000
06/08/2021;9529,500
09/08/2021;9311,500
10/08/2021;9409,500
11/08/2021;9421,000
12/08/2021;9508,500
13/08/2021;9429,500
16/08/2021;9377,000
17/08/2021;9346,500
18/08/2021;9148,500
19/08/2021;8775,500
20/08/2021;8922,000
23/08/2021;9237,000
24/08/2021;9316,500
25/08/2021;9378,500
26/08/2021;9323,000
27/08/2021;9352,000
31/08/2021;9462,500
01/09/2021;9312,000
02/09/2021;9347,000
03/09/2021;9361,000
06/09/2021;9401,500
07/09/2021;9325,000
08/09/2021;9256,000
09/09/2021;9356,500
10/09/2021;9515,000
13/09/2021;9627,000
14/09/2021;9407,000
15/09/2021;9488,500
16/09/2021;9392,000
17/09/2021;9435,500
20/09/2021;9145,500
21/09/2021;9106,000
22/09/2021;9255,000
23/09/2021;9252,000
24/09/2021;9275,000
27/09/2021;9341,000
28/09/2021;9263,000
29/09/2021;9227,000
30/09/2021;9041,000
01/10/2021;9113,000
04/10/2021;9267,500
05/10/2021;9091,500
06/10/2021;9096,000
07/10/2021;9177,000
08/10/2021;9246,000
11/10/2021;9527,000
12/10/2021;9585,000
13/10/2021;9661,000
14/10/2021;9971,000
15/10/2021;10555,000
18/10/2021;10500,000
19/10/2021;10652,000
20/10/2021;10161,000
21/10/2021;10051,000
22/10/2021;9992,000
25/10/2021;10050,000
26/10/2021;9988,000
27/10/2021;9849,500
28/10/2021;9860,000
29/10/2021;9955,000
01/11/2021;9875,000
02/11/2021;9817,000
03/11/2021;9825,000
04/11/2021;9785,000
05/11/2021;9740,000
08/11/2021;9885,000
09/11/2021;10002,000
10/11/2021;9791,000
11/11/2021;9850,000
12/11/2021;9854,500
15/11/2021;9845,000
16/11/2021;9680,000
17/11/2021;9495,000
18/11/2021;9450,000
19/11/2021;9620,500
22/11/2021;9730,000
23/11/2021;9825,500
24/11/2021;9852,000
25/11/2021;9932,000
26/11/2021;9630,000
29/11/2021;9751,000
30/11/2021;9605,000
01/12/2021;9571,000
02/12/2021;9520,000
03/12/2021;9513,000
06/12/2021;9526,000
07/12/2021;9647,000
08/12/2021;9555,500
09/12/2021;9578,000
10/12/2021;9543,000
13/12/2021;9500,000
14/12/2021;9485,000
15/12/2021;9290,000
16/12/2021;9506,000
17/12/2021;9520,000
20/12/2021;9406,000
21/12/2021;9521,000
22/12/2021;9625,000
23/12/2021;9606,000
24/12/2021;9582,000
29/12/2021;9655,000
30/12/2021;9715,000
31/12/2021;9692,000
04/01/2022;9660,000
05/01/2022;9778,000
06/01/2022;9565,000
07/01/2022;9615,000
10/01/2022;9665,000
11/01/2022;9662,000
12/01/2022;9945,000
13/01/2022;9972,000
14/01/2022;9900,000
17/01/2022;9674,500
18/01/2022;9707,000
19/01/2022;9801,000
20/01/2022;9925,000
21/01/2022;9970,000
24/01/2022;9800,000
25/01/2022;9744,000
26/01/2022;9965,000
27/01/2022;9872,000
28/01/2022;9678,000
31/01/2022;9620,000
01/02/2022;9701,000
02/02/2022;9880,000
03/02/2022;9785,000
04/02/2022;9875,000
07/02/2022;9850,000
08/02/2022;9760,000
09/02/2022;9881,000
10/02/2022;10220,500
11/02/2022;10040,000
14/02/2022;9882,000
15/02/2022;10020,000
16/02/2022;10045,500
17/02/2022;10010,000
18/02/2022;10015,000
21/02/2022;9960,000
22/02/2022;10020,000
23/02/2022;10005,000
24/02/2022;9983,000
25/02/2022;9920,000
28/02/2022;9974,000
01/03/2022;9976,000
02/03/2022;10257,500
03/03/2022;10470,000
04/03/2022;10466,000
07/03/2022;10730,000
08/03/2022;10171,000
09/03/2022;10052,000
10/03/2022;10144,000
11/03/2022;10145,000
14/03/2022;9880,000
15/03/2022;9826,000
16/03/2022;10100,500
17/03/2022;10166,000
18/03/2022;10249,000
21/03/2022;10173,000
22/03/2022;10342,000
23/03/2022;10311,000
24/03/2022;10421,000
25/03/2022;10280,000
28/03/2022;10227,000
29/03/2022;10350,000
30/03/2022;10390,500
31/03/2022;10337,000
01/04/2022;10247,000
04/04/2022;10301,500
05/04/2022;10426,000
06/04/2022;10350,500
07/04/2022;10292,000
08/04/2022;10390,000
11/04/2022;10235,500
12/04/2022;10201,000
13/04/2022;10290,500
14/04/2022;10277,000
19/04/2022;10381,000
20/04/2022;10215,000
21/04/2022;10268,000
22/04/2022;10230,500
25/04/2022;9919,000
26/04/2022;9912,500
27/04/2022;9910,000
28/04/2022;9812,000
29/04/2022;9820,500
03/05/2022;9511,000
04/05/2022;9474,000
05/05/2022;9541,000
06/05/2022;9428,000
09/05/2022;9160,000
10/05/2022;9350,000
11/05/2022;9367,000
12/05/2022;9018,500
13/05/2022;9064,000
16/05/2022;9270,000
17/05/2022;9396,000
18/05/2022;9264,500
19/05/2022;9287,000
20/05/2022;9477,000
23/05/2022;9500,500
24/05/2022;9460,500
25/05/2022;9287,000
26/05/2022;9359,000
27/05/2022;9383,000
30/05/2022;9520,500
31/05/2022;9500,500
01/06/2022;9455,000
06/06/2022;9712,000
07/06/2022;9612,000
08/06/2022;9692,000
09/06/2022;9630,000
10/06/2022;9537,000
13/06/2022;9290,000
14/06/2022;9263,000
15/06/2022;9257,000
16/06/2022;9105,000
17/06/2022;9101,000
20/06/2022;8875,000
21/06/2022;9000,000
22/06/2022;8729,000
23/06/2022;8578,000
24/06/2022;8280,500
27/06/2022;8353,000
28/06/2022;8502,000
29/06/2022;8446,000
30/06/2022;8245,000
01/07/2022;7975,500
04/07/2022;8036,000
05/07/2022;7807,000
06/07/2022;7525,500
07/07/2022;7835,000
08/07/2022;7790,000
11/07/2022;7623,000
12/07/2022;7370,500
13/07/2022;7267,000
14/07/2022;7216,000
15/07/2022;7000,000
18/07/2022;7320,000
19/07/2022;7281,500
20/07/2022;7371,000
21/07/2022;7231,500
22/07/2022;7372,000
25/07/2022;7448,000
26/07/2022;7591,500
27/07/2022;7552,000
28/07/2022;7712,000
29/07/2022;7800,500
01/08/2022;7930,500
02/08/2022;7819,000
03/08/2022;7774,000
04/08/2022;7642,000
05/08/2022;7830,500
08/08/2022;7835,000
09/08/2022;7971,500
10/08/2022;7976,000
11/08/2022;8140,000
12/08/2022;8065,000
15/08/2022;7865,500
16/08/2022;7992,000
17/08/2022;7955,000
18/08/2022;8020,000
19/08/2022;8051,000
22/08/2022;8041,000
23/08/2022;8100,500
24/08/2022;8031,500
25/08/2022;8155,000
26/08/2022;8315,000
30/08/2022;7910,500
31/08/2022;7721,000
01/09/2022;7702,000
02/09/2022;7587,000
05/09/2022;7652,500
06/09/2022;7707,000
07/09/2022;7730,000
08/09/2022;7906,000
09/09/2022;7985,000
12/09/2022;8026,000
13/09/2022;8230,000
14/09/2022;7865,000
15/09/2022;7806,000
16/09/2022;7792,000
19/09/2022;7772,000
20/09/2022;7796,000
21/09/2022;7761,500
22/09/2022;7815,000
23/09/2022;7446,000
26/09/2022;7449,000
27/09/2022;7475,000
28/09/2022;7353,000
29/09/2022;7660,500
30/09/2022;7647,000
03/10/2022;7524,000
04/10/2022;7596,000
05/10/2022;7661,000
06/10/2022;7744,000
07/10/2022;7575,500
10/10/2022;7655,000
11/10/2022;7587,000
12/10/2022;7625,500
13/10/2022;7663,000
14/10/2022;7688,000
17/10/2022;7715,000
18/10/2022;7536,000
19/10/2022;7420,000
20/10/2022;7585,500
21/10/2022;7545,000
24/10/2022;7661,000
25/10/2022;7536,000
26/10/2022;7762,500
27/10/2022;7777,000
28/10/2022;7663,500
31/10/2022;7525,000
01/11/2022;7745,000
02/11/2022;7705,000
03/11/2022;7510,000
04/11/2022;7905,000
07/11/2022;7954,500
08/11/2022;7974,000
09/11/2022;8035,000
10/11/2022;8065,000
11/11/2022;8441,000
14/11/2022;8346,000
15/11/2022;8343,000
16/11/2022;8315,000
17/11/2022;8155,000
18/11/2022;8047,000
21/11/2022;7900,500
22/11/2022;7996,000
23/11/2022;7962,000
24/11/2022;7990,500
25/11/2022;8070,000
28/11/2022;7966,000
29/11/2022;8035,500
30/11/2022;8198,000
01/12/2022;8216,500
02/12/2022;8342,000
05/12/2022;8440,000
06/12/2022;8355,500
07/12/2022;8334,000
08/12/2022;8537,000
09/12/2022;8490,500
12/12/2022;8371,500
13/12/2022;8381,000
14/12/2022;8415,000
15/12/2022;8383,000
16/12/2022;8231,500
19/12/2022;8331,000
20/12/2022;8302,000
21/12/2022;8327,000
22/12/2022;8345,500
23/12/2022;8308,500
28/12/2022;8451,000
29/12/2022;8395,000
30/12/2022;8387,000
03/01/2023;8390,000
04/01/2023;8209,000
05/01/2023;8420,000
06/01/2023;8362,500
09/01/2023;8722,000
10/01/2023;8766,500
11/01/2023;8987,000
12/01/2023;9071,500
13/01/2023;9107,000
16/01/2023;9145,500
17/01/2023;9114,000
18/01/2023;9436,000
19/01/2023;9190,000
20/01/2023;9232,000
23/01/2023;9340,500
24/01/2023;9308,000
25/01/2023;9258,000
26/01/2023;9288,500
27/01/2023;9345,500
30/01/2023;9227,000
31/01/2023;9075,000
01/02/2023;9175,000
02/02/2023;9114,000
03/02/2023;9060,000
06/02/2023;8891,500
07/02/2023;8865,000
08/02/2023;9006,000
09/02/2023;8953,500
10/02/2023;8905,000
13/02/2023;8912,000
14/02/2023;8931,500
15/02/2023;8826,000
16/02/2023;8892,000
17/02/2023;8871,000
20/02/2023;9015,000
21/02/2023;9103,500
22/02/2023;9121,000
23/02/2023;9060,000
24/02/2023;8807,000
27/02/2023;8751,000
28/02/2023;8844,000
01/03/2023;9066,500
02/03/2023;8896,000
03/03/2023;8945,000
06/03/2023;8819,000
07/03/2023;8824,000
08/03/2023;8810,000
09/03/2023;8808,000
10/03/2023;8755,000
13/03/2023;8651,000
14/03/2023;8905,000
15/03/2023;8525,000
16/03/2023;8535,000
17/03/2023;8621,000
20/03/2023;8677,000
21/03/2023;8824,000
22/03/2023;8880,500
23/03/2023;8917,000
24/03/2023;8927,000
27/03/2023;8876,000
28/03/2023;8934,000
29/03/2023;9052,000
30/03/2023;9038,500
31/03/2023;8935,000
03/04/2023;8966,000
04/04/2023;8930,000
05/04/2023;8780,000
06/04/2023;8836,000
11/04/2023;8837,500
12/04/2023;8803,000
13/04/2023;9001,500
14/04/2023;9082,000
17/04/2023;8985,000
18/04/2023;8966,000
19/04/2023;8875,000
20/04/2023;8875,000
21/04/2023;8816,000
24/04/2023;8762,500
25/04/2023;8521,000
26/04/2023;8579,000
27/04/2023;8465,500
28/04/2023;8571,000
02/05/2023;8573,000
03/05/2023;8486,000
04/05/2023;8539,000
05/05/2023;8488,000
09/05/2023;8583,000
10/05/2023;8469,000
11/05/2023;8267,000
12/05/2023;8240,000
15/05/2023;8287,000
16/05/2023;8076,000
17/05/2023;8176,000
18/05/2023;8171,500
19/05/2023;8222,000
22/05/2023;8094,000
23/05/2023;7961,000
24/05/2023;7910,000
25/05/2023;7922,000
26/05/2023;8082,000
30/05/2023;8122,000
31/05/2023;8017,000
01/06/2023;8210,500
02/06/2023;8337,000
05/06/2023;8265,000
06/06/2023;8311,000
07/06/2023;8352,000
08/06/2023;8243,000
09/06/2023;8368,000
12/06/2023;8287,000
13/06/2023;8421,500
14/06/2023;8457,000
15/06/2023;8479,000
16/06/2023;8561,000
19/06/2023;8542,000
20/06/2023;8565,000
21/06/2023;8490,000
22/06/2023;8670,500
23/06/2023;8490,000
26/06/2023;8437,000
27/06/2023;8367,000
28/06/2023;8268,000
29/06/2023;8165,500
30/06/2023;8210,000
03/07/2023;8355,000
04/07/2023;8349,000
05/07/2023;8251,000
06/07/2023;8280,000
07/07/2023;8299,000
10/07/2023;8286,000
11/07/2023;8371,000
12/07/2023;8367,000
13/07/2023;8585,000
14/07/2023;8651,000
17/07/2023;8460,500
18/07/2023;8410,000
19/07/2023;8354,000
20/07/2023;8543,000
21/07/2023;8422,000
24/07/2023;8430,000
25/07/2023;8597,000
26/07/2023;8534,000
27/07/2023;8578,500
28/07/2023;8592,000
31/07/2023;8635,500
01/08/2023;8720,500
02/08/2023;8545,000
03/08/2023;8472,000
04/08/2023;8450,500
07/08/2023;8495,000
08/08/2023;8276,000
09/08/2023;8395,000
