"Date","Forecast"
2024-06-06,26.790339081786
2024-06-07,26.788311413216
2024-06-10,26.7632537918472
2024-06-11,26.7540377730348
2024-06-12,26.7675919335942
2024-06-13,26.7771927507548
2024-06-14,26.7697263228023
2024-06-17,26.7604043965275
2024-06-18,26.7629421495867
2024-06-19,26.7703072962319
2024-06-20,26.7705740235363
2024-06-21,26.7653353950666
2024-06-24,26.7636189089182
2024-06-25,26.7668842214343
2024-06-26,26.7690595677462
2024-06-27,26.7673389341643
2024-06-28,26.7652765376694
2024-07-01,26.7659171907308
2024-07-02,26.7675851745287
2024-07-03,26.7676065615678
2024-07-04,26.7664132917331
2024-07-05,26.7660529370457
2024-07-08,26.7879127706612
2024-07-09,26.7427375128345
2024-07-10,26.7503568571761
2024-07-11,26.7432720136152
2024-07-12,26.7138056992892
2024-07-15,26.6989094143883
2024-07-16,26.7097677762777
2024-07-17,26.7204120896152
2024-07-18,26.713980330106
2024-07-19,26.7035974041859
2024-07-22,26.7047821141092
2024-07-23,26.7123478543952
2024-07-24,26.7135387382332
2024-07-25,26.7083708398475
2024-07-26,26.7059959853552
2024-07-29,26.7090135273512
2024-07-30,26.7115779895444
2024-07-31,26.7101380364256
2024-08-01,26.7078774078036
2024-08-02,26.7082631587041
2024-08-05,26.7099992916436
2024-08-06,26.7102195775309
2024-08-07,27.0586919129665
2024-08-08,27.0207291920039
2024-08-09,27.040693519127
2024-08-12,27.0196818028923
2024-08-13,27.0255268944829
2024-08-14,27.0193318073757
2024-08-15,27.0173445470468
2024-08-16,27.0172056232914
2024-08-19,27.0139002119799
2024-08-20,27.0145978803456
2024-08-21,27.0124929619645
2024-08-22,27.0125828754133
2024-08-23,27.0117004519007
2024-08-26,27.0113617524648
2024-08-27,27.011088474989
2024-08-28,27.0107048405226
2024-08-29,27.0106104317904
2024-08-30,27.0103500109274
2024-09-02,27.0102759195691
2024-09-03,27.0101379579916
2024-09-04,27.0190555646092
2024-09-05,27.0189074049635
2024-09-06,27.0189040484207
2024-09-09,27.0187960925609
2024-09-10,27.0187763089803
2024-09-11,27.0187295248912
2024-09-12,27.0363243140012
2024-09-13,27.0355784643029
2024-09-16,27.2762408586365
2024-09-17,27.2539443592612
2024-09-18,27.1977884082207
2024-09-19,27.2849757111031
2024-09-20,27.450799044671
2024-09-23,27.4650584202715
