Date;CopperSHMET
25/04/2018;51780
26/04/2018;51790
27/04/2018;51635
02/05/2018;50780
03/05/2018;50755
04/05/2018;50910
07/05/2018;50890
08/05/2018;51030
09/05/2018;50745
10/05/2018;50920
11/05/2018;51110
14/05/2018;51190
15/05/2018;50970
16/05/2018;50710
17/05/2018;50955
18/05/2018;51020
21/05/2018;51230
22/05/2018;51260
23/05/2018;51605
24/05/2018;51150
25/05/2018;51355
28/05/2018;51210
29/05/2018;51360
30/05/2018;51110
31/05/2018;51110
01/06/2018;51260
04/06/2018;51910
05/06/2018;51870
06/06/2018;52610
07/06/2018;53655
08/06/2018;53525
11/06/2018;53815
12/06/2018;53410
13/06/2018;53220
14/06/2018;53380
15/06/2018;53090
19/06/2018;52290
20/06/2018;51550
21/06/2018;51605
22/06/2018;51420
25/06/2018;51700
26/06/2018;51050
27/06/2018;51315
28/06/2018;51400
29/06/2018;51215
02/07/2018;51215
03/07/2018;51070
04/07/2018;50690
05/07/2018;49705
06/07/2018;48940
09/07/2018;49550
10/07/2018;49615
11/07/2018;47995
12/07/2018;48440
13/07/2018;48575
16/07/2018;48855
17/07/2018;48760
18/07/2018;48475
19/07/2018;48815
20/07/2018;48260
23/07/2018;48735
24/07/2018;49185
25/07/2018;49810
26/07/2018;49920
27/07/2018;49940
30/07/2018;49825
31/07/2018;49700
01/08/2018;49905
02/08/2018;49160
03/08/2018;49255
06/08/2018;49335
07/08/2018;49345
08/08/2018;49510
09/08/2018;49595
10/08/2018;49800
13/08/2018;49570
14/08/2018;49560
15/08/2018;48775
16/08/2018;47780
17/08/2018;48075
20/08/2018;48475
21/08/2018;48675
22/08/2018;48715
23/08/2018;48265
24/08/2018;48480
27/08/2018;48785
28/08/2018;48595
29/08/2018;49070
30/08/2018;48785
31/08/2018;48650
03/09/2018;48310
04/09/2018;48210
05/09/2018;47630
06/09/2018;47935
07/09/2018;48010
10/09/2018;47795
11/09/2018;47895
12/09/2018;47885
13/09/2018;48620
14/09/2018;48790
17/09/2018;48235
18/09/2018;48870
19/09/2018;50000
20/09/2018;49915
21/09/2018;50035
25/09/2018;50505
26/09/2018;50650
27/09/2018;50515
28/09/2018;50260
08/10/2018;50245
09/10/2018;50545
10/10/2018;50935
11/10/2018;50060
12/10/2018;50525
15/10/2018;50865
16/10/2018;50465
17/10/2018;50100
18/10/2018;50260
19/10/2018;50045
22/10/2018;50435
23/10/2018;50355
24/10/2018;50080
25/10/2018;49595
26/10/2018;49895
29/10/2018;49870
30/10/2018;49560
31/10/2018;49090
01/11/2018;48780
02/11/2018;49225
05/11/2018;49950
06/11/2018;49620
07/11/2018;49555
08/11/2018;49610
09/11/2018;49425
12/11/2018;49105
13/11/2018;48830
14/11/2018;48940
15/11/2018;49105
16/11/2018;49570
19/11/2018;49770
20/11/2018;49830
21/11/2018;49360
22/11/2018;49575
23/11/2018;49805
26/11/2018;49430
27/11/2018;49325
28/11/2018;49120
29/11/2018;49765
30/11/2018;49735
03/12/2018;50505
04/12/2018;49945
05/12/2018;49490
06/12/2018;49365
07/12/2018;49430
10/12/2018;49260
11/12/2018;49305
12/12/2018;49310
13/12/2018;49295
14/12/2018;49130
17/12/2018;49170
18/12/2018;49020
19/12/2018;48225
20/12/2018;48225
21/12/2018;48355
24/12/2018;48285
25/12/2018;47985
26/12/2018;48080
27/12/2018;48545
28/12/2018;48205
02/01/2019;47990
03/01/2019;47320
04/01/2019;46880
07/01/2019;46780
08/01/2019;47430
09/01/2019;47585
10/01/2019;47390
