"Date","Forecast"
2024-08-23,21.5284624472794
2024-08-26,21.5884235670121
2024-08-27,21.5825584934994
2024-08-28,21.572116884262
2024-08-29,21.6147418561601
2024-08-30,21.6295734423899
2024-09-02,21.6015325503201
2024-09-03,21.6162969863147
2024-09-04,21.6376689129513
2024-09-05,21.6088064931587
2024-09-06,21.6007691780984
2024-09-09,21.6303281886603
2024-09-10,21.6192177192014
2024-09-11,21.5935794929706
2024-09-12,21.6154096182053
2024-09-13,21.6256246501075
2024-09-16,21.5959384098125
2024-09-17,21.5992076897275
2024-09-18,21.6234337517946
2024-09-19,21.6042115619247
2024-09-20,21.588165496651
2024-09-23,21.6126866052382
