"Date","n.ahead","N","n.start","n.roll","X1975.01.21","X1975.01.21.1"
2,3,1846,0,0,147.953410726613,8416.75731247869
3,3,1846,0,0,147.953410726613,8415.73188886381
4,3,1846,0,0,147.953410726613,8414.70683344257
