"Date","Forecast"
2024-08-23,24.7860537655259
2024-08-26,24.7906362304547
2024-08-27,24.7920139085336
2024-08-28,24.7932358640914
2024-08-29,24.7943196988479
2024-08-30,24.7952810249551
2024-09-02,24.7961336898827
2024-09-03,24.7968899758854
2024-09-04,24.7975607769225
2024-09-05,24.7981557555813
2024-09-06,24.7986834822613
2024-09-09,24.7991515586281
2024-09-10,24.7995667271109
2024-09-11,24.7999349680249
2024-09-12,24.8002615857147
2024-09-13,24.8005512849612
2024-09-16,24.8008082387516
2024-09-17,24.8010361483897
2024-09-18,24.8012382968111
2024-09-19,24.8014175958729
2024-09-20,24.8015766282974
2024-09-23,24.8017176848751
