"","x"
"1",8413.2999285465
"2",8414.09539752093
"3",8414.2192233847
"4",8415.6836180682
"5",8413.82975006419
"6",8415.97961376032
"7",8417.81790300793
"8",8422.74077929813
"9",8416.36908182125
"10",8416.63392010269
"11",8417.80232428549
"12",8414.62426490827
"13",8416.07308609494
"14",8418.05158384449
"15",8417.49074983674
"16",8417.14801794312
"17",8419.76524331259
"18",8417.8490604528
