"Date","Forecast"
2024-08-22,1.11111151944814
2024-08-23,1.11143029436122
2024-08-26,1.11169882907826
2024-08-27,1.11140233669811
2024-08-28,1.1115410244589
2024-08-29,1.11174990713659
2024-08-30,1.11160465399373
2024-09-02,1.11159926519677
2024-09-03,1.11178924319004
2024-09-04,1.11160423599419
2024-09-05,1.11154853981557
2024-09-06,1.11174598172248
2024-09-09,1.11160332781962
2024-09-10,1.11150444533362
2024-09-11,1.1116975643765
2024-09-12,1.11160037967079
2024-09-13,1.11146707320608
2024-09-16,1.11164541349865
2024-09-17,1.11159409531527
2024-09-18,1.11143614742135
2024-09-19,1.11159101803267
2024-09-20,1.11158347763225
