"date","Forecast"
2024-07-11,9710.13150432069
2024-07-12,9710.25223761932
2024-07-13,9712.2870545405
2024-07-16,9685.66627993087
2024-07-17,9692.77245336924
2024-07-18,9693.61645319759
2024-07-19,9349.90726031465
2024-07-20,9348.0114126524
2024-07-21,9342.63215046268
2024-08-07,8671.98434760794
2024-08-08,8662.22128393116
2024-08-09,8660.10163331415
2024-08-10,8685.18874766501
2024-08-11,8690.18816023715
2024-08-12,8680.29638262494
2024-08-13,8823.82988341708
2024-08-14,8813.09902537474
2024-08-15,8814.53303470855
2024-08-16,8827.271835753
2024-08-17,8873.83481187521
2024-08-18,8969.73415117124
2024-08-19,8973.61595068231
2024-08-20,9067.09362043826
2024-08-21,9081.54991974844
2024-08-22,9075.2916658608
2024-08-23,9163.01101155795
2024-08-24,9112.63441316727
