"Date","Forecast"
2024-06-06,61.413204372226
2024-06-07,61.4228505984228
2024-06-10,61.411540375866
2024-06-11,61.3939978006395
2024-06-12,61.4001744997544
2024-06-13,61.4024371257255
2024-06-14,61.4216451873659
2024-06-17,61.4107606511988
2024-06-18,61.4023832373502
2024-06-19,61.4084826620299
2024-06-20,61.405598409219
2024-06-21,61.407101197864
2024-06-24,61.4063372810374
2024-06-25,61.406727984777
2024-06-26,61.406528464279
2024-06-27,61.4066303919561
2024-06-28,61.4065783257739
2024-07-01,61.4066049225838
2024-07-02,61.4065913362956
2024-07-03,61.4065982765075
2024-07-04,61.406594731277
2024-07-05,61.4065965422679
2024-07-08,61.4180009983165
2024-07-09,61.3950899959928
2024-07-10,61.4324660658324
2024-07-11,61.4274048578354
2024-07-12,61.4159292162913
2024-07-15,61.4068348798472
2024-07-16,61.4020390153186
2024-07-17,61.4119342471878
2024-07-18,61.4294442142639
2024-07-19,61.4087236001647
2024-07-22,61.4175382537664
2024-07-23,61.41297876798
2024-07-24,61.4152210979814
2024-07-25,61.4141046368456
2024-07-26,61.4146588263803
2024-07-29,61.4143835293276
2024-07-30,61.4145202592422
2024-07-31,61.4144523473833
2024-08-01,61.414486077879
2024-08-02,61.4144693245523
2024-08-05,61.4144776456206
2024-08-06,61.4144735126987
2024-08-07,61.4920423057367
2024-08-08,61.4842396461892
2024-08-09,61.4541211816848
2024-08-12,61.452487852
2024-08-13,61.5057983487708
2024-08-14,61.4619332586621
2024-08-15,61.4858904140108
2024-08-16,61.4653226534145
2024-08-19,61.4738982577201
2024-08-20,61.4701122733816
2024-08-21,61.4717736816549
2024-08-22,61.4710441514031
2024-08-23,61.4713644702125
2024-08-26,61.4712238251644
2024-08-27,61.4712855793152
2024-08-28,61.4712584644224
2024-08-29,61.4712703699769
2024-08-30,61.4712651425091
2024-09-02,61.4712674377755
2024-09-03,61.4712664299744
2024-09-04,61.4736597709251
2024-09-05,61.4723031392188
2024-09-06,61.4706256061953
2024-09-09,61.4506636837056
2024-09-10,61.4498425091837
2024-09-11,61.4490853088972
2024-09-12,61.4464866250801
2024-09-13,61.4563167446834
2024-09-16,61.4643024982346
2024-09-17,61.4074258639727
2024-09-18,61.4312552768213
2024-09-19,61.4280958815174
2024-09-20,61.4463169975352
2024-09-23,61.4472113304191
