"Date","Forecast"
2024-08-23,27.5402740782441
2024-08-26,27.5343549852121
2024-08-27,27.5230484097592
2024-08-28,27.5156348709828
2024-08-29,27.5123245331115
2024-08-30,27.5066144776646
2024-09-02,27.5047691800614
2024-09-03,27.5022344170716
2024-09-04,27.5003302750293
2024-09-05,27.4994768791135
2024-09-06,27.4981576317482
2024-09-09,27.4976254886369
2024-09-10,27.4970458152441
2024-09-11,27.4965676273526
2024-09-12,27.4963454395317
2024-09-13,27.496039698719
2024-09-16,27.4958934785182
2024-09-17,27.4957583505491
2024-09-18,27.4956400552597
2024-09-19,27.4955821319023
2024-09-20,27.4955109173995
2024-09-23,27.4954720268162
