Date,Price
2024-04-26,25100
2024-04-29,25250
2024-04-30,25250
2024-05-01,25250
2024-05-02,25100
2024-05-03,25250
2024-05-07,25250
2024-05-08,25250
2024-05-09,25250
2024-05-10,25050
2024-05-13,25600
2024-05-14,25100
2024-05-15,25100
2024-05-16,25250
2024-05-17,25100
2024-05-20,25100
2024-05-21,25600
2024-05-22,25050
2024-05-23,25600
2024-05-24,25600
