Date;Comex
05/03/2024;3,844
06/03/2024;3,871
07/03/2024;3,920
08/03/2024;3,885
11/03/2024;3,923
12/03/2024;3,925
13/03/2024;4,053
14/03/2024;4,037
15/03/2024;4,113
18/03/2024;4,115
19/03/2024;4,059
20/03/2024;4,039
21/03/2024;4,047
22/03/2024;3,996
25/03/2024;4,007
26/03/2024;3,996
27/03/2024;3,993
28/03/2024;4,004
