Date;Shmet
05/03/2024;68910
06/03/2024;68775
07/03/2024;69190
08/03/2024;69600
11/03/2024;69300
12/03/2024;69460
13/03/2024;69630
14/03/2024;71850
15/03/2024;72060
18/03/2024;72890
19/03/2024;73000
20/03/2024;72460
21/03/2024;72800
22/03/2024;72090
25/03/2024;72220
26/03/2024;71700
27/03/2024;71600
28/03/2024;71950
29/03/2024;72025
