"date","Forecast"
2024-07-11,2438.54415938042
2024-07-12,2439.77872577565
2024-07-13,2439.57818250164
2024-07-16,2409.13326733097
2024-07-17,2410.09031070273
2024-07-18,2412.76252870422
2024-07-19,2345.41061308577
2024-07-20,2350.07811583747
2024-07-21,2353.79893106491
2024-07-24,2269.66652172191
2024-07-25,2273.52776009372
2024-07-26,2278.74169518477
2024-07-27,2238.43653131912
2024-07-28,2238.9342626815
2024-07-29,2247.54320708326
2024-08-01,2251.22203848654
2024-08-02,2250.05566947198
2024-08-03,2262.57949180968
2024-08-06,2182.3122018425
2024-08-07,2182.30585908986
2024-08-08,2195.98049834087
2024-08-10,2257.15373219103
2024-08-11,2253.62326965101
2024-08-12,2258.19713046757
2024-08-13,2258.75887247009
2024-08-14,2264.54946213517
2024-08-15,2268.34261623959
2024-08-16,2265.45619973127
2024-08-17,2292.24211096866
2024-08-18,2290.05815928414
2024-08-19,2290.25496909532
2024-08-20,2356.45490632923
2024-08-21,2352.52163925125
2024-08-22,2364.61551418376
2024-08-23,2422.74882134043
2024-08-24,2442.25492178828
