"Date","Forecast"
2024-06-10,116.954435632104
2024-06-11,116.965762806576
2024-06-12,116.970651704304
2024-06-13,116.957381452679
2024-06-14,116.963965156087
2024-06-17,116.974492850507
2024-06-18,116.965238197003
2024-06-19,116.960482198276
2024-06-20,116.971405805155
2024-06-21,116.971521936068
2024-06-24,116.960731664502
2024-06-25,116.965542621785
2024-06-26,116.97395291443
2024-06-27,116.965385235066
2024-06-28,116.961029038795
2024-07-01,116.97143890551
2024-07-02,116.970969315601
2024-07-03,116.960951366654
2024-07-04,116.965985534527
2024-07-05,116.973534797189
2024-07-08,116.965140723083
2024-07-09,116.961551628467
2024-07-10,116.961108104161
2024-07-11,116.959756837296
2024-07-12,116.971457044758
2024-07-15,116.964537205853
2024-07-16,116.955453797989
2024-07-17,116.957400699389
2024-07-18,116.964819737523
2024-07-19,116.959884046421
2024-07-22,116.954318984806
2024-07-23,116.961733592558
2024-07-24,116.963760866218
2024-07-25,116.955551939293
2024-07-26,116.957361435831
2024-07-29,116.964574379486
2024-07-30,116.959463129108
2024-07-31,116.954754314162
2024-08-01,116.96194497494
2024-08-02,116.963236175553
2024-08-05,116.955587375492
2024-08-06,116.957859577424
2024-08-07,116.964309184001
2024-08-08,116.954433064368
2024-08-09,116.947443403917
2024-08-12,116.943637218168
2024-08-13,116.949913058904
2024-08-14,116.954523286315
2024-08-15,116.949058774586
2024-08-16,116.943779979201
2024-08-19,116.948357379776
2024-08-20,116.954161737948
2024-08-21,116.950524956039
2024-08-22,116.944342206171
2024-08-23,116.947007189874
2024-08-26,116.953420285783
2024-08-27,116.951736370051
2024-08-28,116.945238696795
2024-08-29,116.953163073316
2024-08-30,116.953116751105
2024-09-02,116.953089282378
2024-09-03,116.953072993887
2024-09-04,116.953063335122
2024-09-05,116.953057607664
2024-09-06,116.953054211394
2024-09-09,116.952160290192
2024-09-10,116.95216001826
2024-09-11,116.952159905173
2024-09-12,116.96086299334
2024-09-13,116.966909837411
2024-09-16,116.967975094938
2024-09-17,116.915211356445
2024-09-18,116.943438897417
2024-09-19,116.950148877611
2024-09-20,116.958679687201
2024-09-23,116.966064700139
