"Date","Price","Forecast"
2024-07-23,1.086,1.08245486306532
2024-07-24,1.0848,1.0825574105627
2024-07-25,1.0851,1.08255450704496
2024-07-26,1.086,1.08241583263658
2024-07-29,1.0817,1.08249498491086
2024-07-30,1.0824,1.08252053779483
2024-07-31,1.0828,1.08238035124422
2024-08-01,1.0789,1.08243318077943
2024-08-02,1.0835,1.08248259636587
2024-08-05,1.0966,1.08234764639182
2024-08-06,1.0915,1.08237286827857
2024-08-07,1.0922,1.09655359347066
2024-08-08,1.093,1.09640882456674
2024-08-09,1.0917,1.09648630878605
2024-08-12,1.0925,1.09682430092795
2024-08-13,1.0931,1.09656251355462
2024-08-14,1.1019,1.09662381562754
2024-08-15,1.1011,1.09688392925292
2024-08-16,1.0994,1.09686978205399
2024-08-19,1.1041,1.0965938345908
2024-08-20,1.1084,1.09680702870607
2024-08-21,1.1116,1.09685806075489
