"Date","Forecast"
2024-08-23,3.38833249397499
2024-08-26,3.38691429777228
2024-08-27,3.38941909972807
2024-08-28,3.38918627847588
2024-08-29,3.38703140194717
2024-08-30,3.38850273220303
2024-09-02,3.38961431443094
2024-09-03,3.38761952934194
2024-09-04,3.38776780713876
2024-09-05,3.38950560445833
2024-09-06,3.38835516023573
2024-09-09,3.38743763993935
2024-09-10,3.38902562190818
2024-09-11,3.38893742258678
2024-09-12,3.38753659434672
2024-09-13,3.38843531010623
2024-09-16,3.38919164910885
2024-09-17,3.3879280187023
2024-09-18,3.38797421737402
2024-09-19,3.38910292795459
2024-09-20,3.38840153536871
2024-09-23,3.3877788373308
