"Date","Forecast"
2024-08-23,19.3786075948224
2024-08-26,19.3989686714004
2024-08-27,19.4044674456185
2024-08-28,19.3956259522909
2024-08-29,19.3809968196129
2024-08-30,19.3750830019433
2024-09-02,19.3723308505359
2024-09-03,19.3693187994136
2024-09-04,19.3673363723629
2024-09-05,19.3662038291289
2024-09-06,19.3654565368877
2024-09-09,19.3649685249914
2024-09-10,19.3646137597601
2024-09-11,19.3643410127651
2024-09-12,19.3641129298114
2024-09-13,19.3639112584711
2024-09-16,19.3637243577871
2024-09-17,19.3635460342174
2024-09-18,19.3633725661743
2024-09-19,19.3632018944449
2024-09-20,19.3630328145509
2024-09-23,19.3628646479524
