Date,price
2024-03-05,8429.5
2024-03-06,8441
2024-03-07,8559
2024-03-08,8552.5
2024-03-11,8522
2024-03-12,8566
2024-03-13,8727
2024-03-14,8791.5
2024-03-15,8906.5
2024-03-18,8973
2024-03-19,8875
2024-03-20,8790
2024-03-21,8873.5
2024-03-22,8741
2024-03-25,8745
2024-03-26,8764
2024-03-27,8696
2024-03-28,8729
